tweet_id,favorite_count,retweet_count,source,retweeted_status,expanded_urls
695074328191332352,2699,1039,,Original tweet,https://t.co/dH3GzcjCtQ
695064344191721472,1530,555,,Original tweet,https://t.co/uaJmNgXR2P
695051054296211456,2530,753,,Original tweet,https://t.co/vityMwPKKi
694925794720792577,2579,869,,Original tweet,https://t.co/Vn6w5w8TO2
694905863685980160,2627,881,,Original tweet,https://t.co/CJJpjTMzPQ
694669722378485760,34208,13575,,Original tweet,https://t.co/9mb0P2rjk2
694356675654983680,1433,269,,Original tweet,https://t.co/SQsEBWxPyG
694352839993344000,1947,577,,Original tweet,https://t.co/6NgsQJuSBJ
694342028726001664,1515,459,,Original tweet,https://t.co/oCImpQuoRb
694329668942569472,1908,477,,Original tweet,https://t.co/oToIkYnEGn
694206574471057408,3972,1931,,Original tweet,https://t.co/Sd4qAdSRqI
694183373896572928,2812,882,,Original tweet,https://t.co/pVebzwRioD
694001791655137281,3255,970,,Original tweet,https://t.co/YoII7tWXMT
693993230313091072,1801,383,,Original tweet,https://t.co/gzRghPC61H
693942351086120961,1670,348,,Original tweet,https://t.co/LCA6Fr3X2M
693647888581312512,2568,555,,Original tweet,https://t.co/LSTAwTdTaw
693644216740769793,1300,119,,Original tweet,f
693642232151285760,2437,397,,Original tweet,https://t.co/6BS9XEip9a
693629975228977152,2343,753,,Original tweet,https://t.co/Tn9Mp0oPoJ
693622659251335168,1467,355,,Original tweet,https://t.co/a1IrjaID3X
693590843962331137,4825,1852,,Original tweet,https://t.co/fShNNhBWYx
693582294167244802,1578,235,,Original tweet,I
693486665285931008,1689,599,,Original tweet,https://t.co/S6cQsIoX27
693280720173801472,3201,1180,,Original tweet,https://t.co/UzbhwXcLne
693267061318012928,2271,767,,Original tweet,https://t.co/waN6EW0wfM
693262851218264065,2103,468,,Original tweet,https://t.co/DYUsHtL2aR
693231807727280129,2752,703,,Original tweet,https://t.co/bpZsGMqVVP
693155686491000832,7525,3030,,Original tweet,https://t.co/At8Kxc5H9U
693109034023534592,1630,575,,Original tweet,https://t.co/NY3cPAZAIM
693095443459342336,1779,429,,Original tweet,https://t.co/OhodPIDOpW
692919143163629568,2564,721,,Original tweet,https://t.co/TMpDHHGspy
692905862751522816,2324,828,,Original tweet,https://t.co/EiF659Bgjn
692901601640583168,1679,571,,Original tweet,https://t.co/N0OADmCnVV
692894228850999298,2157,746,,Original tweet,https://t.co/mCqgtqLDCW
692828166163931137,2750,846,,Original tweet,https://t.co/X6X9wM7NuS
692752401762250755,6518,3457,,Original tweet,https://t.co/kYWcXbluUu
692568918515392513,4165,1462,,Original tweet,https://t.co/CFMjsn3P6B
692535307825213440,3012,1288,,Original tweet,https://t.co/Dt360V2MYI
692530551048294401,1759,390,,Original tweet,https://t.co/Iv3flDTpXu
692423280028966913,1406,210,,Original tweet,0
692417313023332352,8950,3275,,Original tweet,https://t.co/VGaIMktX10
692187005137076224,2416,777,,Original tweet,https://t.co/krvbacIX0N
692158366030913536,2047,749,,Original tweet,https://t.co/1NgMb9BTWB
692142790915014657,1571,368,,Original tweet,https://t.co/tDkJAnQsbQ
692041934689402880,3241,1192,,Original tweet,https://t.co/sRUpRpGZ3y
692017291282812928,2763,903,,Original tweet,https://t.co/BE4ahQ0IO2
691820333922455552,3789,1559,,Original tweet,https://t.co/fn1oUlS69Z
691793053716221953,7770,4006,,Original tweet,https://t.co/qnMJHBxPuo
691756958957883396,2703,931,,Original tweet,https://t.co/frGWV7IP6J
691675652215414786,1864,477,,Original tweet,https://t.co/KMdwNgONkV
691483041324204033,2287,526,,Original tweet,https://t.co/aenk0KpoWM
691459709405118465,3864,1076,,Original tweet,https://t.co/LZEi0DpRsH
691444869282295808,2516,796,,Original tweet,https://t.co/YBENhr24FV
691416866452082688,18484,7221,,Original tweet,https://t.co/fR1P3g5I6k
691321916024623104,2467,628,,Original tweet,https://t.co/g4fiS8A9Ab
691096613310316544,2849,838,,Original tweet,https://t.co/fUacc13OrW
691090071332753408,1651,318,,Original tweet,https://t.co/MM7tb4HpEY
690989312272396288,5646,2721,,Original tweet,https://t.co/pmarb2dG0e
690959652130045952,3416,1169,,Original tweet,https://t.co/DgXYBDMM3E
